Author,Title,Keywords,Year,Type Pulication,DOI
Muhammad Habib ur Rehman and Victor Chang and Aisha Batool and Teh Ying Wah,Big data reduction framework for value creation in sustainable enterprises,"Sustainable enterprises, Value creation, Big data analytics, Data reduction, Business model",2016,article,https://doi.org/10.1016/j.ijinfomgt.2016.05.013
Andrea Damiani and Graziano Onder and Vincenzo Valentini,Large databases (Big Data) and evidence-based medicine,empty,2018,article,https://doi.org/10.1016/j.ejim.2018.05.019
Anna Kobusińska and Kamil Pawluczuk and Jerzy Brzeziński,Big Data fingerprinting information analytics for sustainability,"Big Data, Fingerprinting, Web tracking, Security, Analytics",2018,article,https://doi.org/10.1016/j.future.2017.12.061
Zhe Liu and Kim-Kwang Raymond Choo and Minghao Zhao,Practical-oriented protocols for privacy-preserving outsourced big data analysis: Challenges and future research directions,"Big data analysis, Privacy-preserving, Outsourced big data, Oblivious RAM, Security, Practical-oriented, Secure query",2017,article,https://doi.org/10.1016/j.cose.2016.12.006
M. Olmedilla and M.R. Martínez-Torres and S.L. Toral,Harvesting Big Data in social science: A methodological approach for collecting online user-generated content,"Big Data, User-generated content, e-Social science, Computing, Data gathering",2016,article,https://doi.org/10.1016/j.csi.2016.02.003
Alexander T. Janke and Daniel L. Overbeek and Keith E. Kocher and Phillip D. Levy,Exploring the Potential of Predictive Analytics and Big Data in Emergency Care,empty,2016,article,https://doi.org/10.1016/j.annemergmed.2015.06.024
David Opresnik and Marco Taisch,The value of Big Data in servitization,"Servitization, Big Data, Manufacturing, Competitive advantage, Value, Information",2015,article,https://doi.org/10.1016/j.ijpe.2014.12.036
Cheikh {Kacfah Emani} and Nadine Cullot and Christophe Nicolle,Understandable Big Data: A survey,"Big data, Hadoop, Reasoning, Coreference resolution, Entity linking, Information extraction, Ontology alignment",2015,article,https://doi.org/10.1016/j.cosrev.2015.05.002
Krish Krishnan,10 - Building the big data application,"Big data, Business continuity, Research project, Software, Storyboard, User interface",2020,incollection,https://doi.org/10.1016/B978-0-12-815746-6.00010-7
Jane Englebright and Barbara Caspers,The Role of the Chief Nurse Executive in the Big Data Revolution,empty,2016,article,https://doi.org/10.1016/j.mnl.2016.01.001
Denes V. Agoston,"Chapter 4 - Big Data, Artificial Intelligence, and Machine Learning in Neurotrauma","Big Data, Artificial intelligence and machine learning in neurotrauma",2019,incollection,https://doi.org/10.1016/B978-0-12-809556-0.00004-6
Gema Bello-Orgaz and Jason J. Jung and David Camacho,Social big data: Recent achievements and new challenges,"Big data, Data mining, Social media, Social networks, Social-based frameworks and applications",2016,article,https://doi.org/10.1016/j.inffus.2015.08.005
Mika Kortesniemi and Virginia Tsapaki and Annalisa Trianni and Paolo Russo and Ad Maas and Hans-Erik Källman and Marco Brambilla and John Damilakis,The European Federation of Organisations for Medical Physics (EFOMP) White Paper: Big data and deep learning in medical imaging and in relation to medical physics profession,empty,2018,article,https://doi.org/10.1016/j.ejmp.2018.11.005
Kim Hua Tan and YuanZhu Zhan and Guojun Ji and Fei Ye and Chingter Chang,Harvesting big data to enhance supply chain innovation capabilities: An analytic infrastructure based on deduction graph,"Big data, Analytic infrastructure, Competence set, Deduction graph, Supply chain innovation",2015,article,https://doi.org/10.1016/j.ijpe.2014.12.034
Bilal Jan and Haleem Farman and Murad Khan and Muhammad Imran and Ihtesham Ul Islam and Awais Ahmad and Shaukat Ali and Gwanggil Jeon,Deep learning in big data Analytics: A comparative study,"Big data, Deep learning, Deep belief networks, Convolutional Neural Networks",2019,article,https://doi.org/10.1016/j.compeleceng.2017.12.009
A. Vidhyalakshmi and C. Priya,Chapter 1 - Medical big data mining and processing in e-health care,"Big data, IoT, health care, telemedicine, WHO, image processing",2020,incollection,https://doi.org/10.1016/B978-0-12-821326-1.00001-2
George A. Heckman and John P. Hirdes and Robert S. McKelvie,The Role of Physicians in the Era of Big Data,empty,2020,article,https://doi.org/10.1016/j.cjca.2019.09.018
Kannan Govindan and T.C.E. Cheng and Nishikant Mishra and Nagesh Shukla,Big data analytics and application for logistics and supply chain management,"Big data analytics, Supply chain management, Logistics",2018,article,https://doi.org/10.1016/j.tre.2018.03.011
Alessandro Mantelero,Regulating big data. The guidelines of the Council of Europe in the context of the European data protection framework,"Big data, Data protection, Council of Europe, Risk assessment, Data protection by design, Consent, Data anonymization, Open data, Algorithms",2017,article,https://doi.org/10.1016/j.clsr.2017.05.011
J.H. Rekha and R. Parvathi,Survey on Software Project Risks and Big Data Analytics,"software project, big data analytics, anlytics tools.",2015,article,https://doi.org/10.1016/j.procs.2015.04.045
Anna Bernasconi,Data quality-aware genomic data integration,"Data quality, Data integration, Data curation, Genomic datasets, Metadata, Interoperability",2021,article,https://doi.org/10.1016/j.cmpbup.2021.100009
Anne Louise Coleman,How Big Data Informs Us About Cataract Surgery: The LXXII Edward Jackson Memorial Lecture,empty,2015,article,https://doi.org/10.1016/j.ajo.2015.09.028
Ivana Semanjski and Sidharta Gautama and Rein Ahas and Frank Witlox,Spatial context mining approach for transport mode recognition from mobile sensed big data,"Transport mode recognition, Mobile sensed big data, Spatial awareness, Geographic information systems, Smart city, Support vector machines, Context mining, Urban data",2017,article,https://doi.org/10.1016/j.compenvurbsys.2017.07.004
Shahriar Akter and Samuel Fosso Wamba and Angappa Gunasekaran and Rameshwar Dubey and Stephen J. Childe,How to improve firm performance using big data analytics capability and business strategy alignment?,"Capabilities, Entanglement view, Big data analytics, Hierarchical modeling",2016,article,https://doi.org/10.1016/j.ijpe.2016.08.018
Qi Liu and Gengzhong Feng and Xi Zhao and Wenlong Wang,Minimizing the data quality problem of information systems: A process-based method,"Data quality, Information system, Petri net, Optimization model, Process model",2020,article,https://doi.org/10.1016/j.dss.2020.113381
Ajay Kumar and Ravi Shankar and Lakshman S. Thakur,A big data driven sustainable manufacturing framework for condition-based maintenance prediction,"data driven sustainable enterprise, fuzzy unordered induction algo, big data analytics, condition-based maintenance, machine learning techniques, backward feature elimination",2018,article,https://doi.org/10.1016/j.jocs.2017.06.006
Choiru Za’in and Mahardhika Pratama and Edwin Lughofer and Meftahul Ferdaus and Qing Cai and Mukesh Prasad,Big Data Analytics based on PANFIS MapReduce,"Big data stream analytic, Distributed evolving algorithm, Scalable real-time data mining, Parallel learning, Rule merging strategy",2018,article,https://doi.org/10.1016/j.procs.2018.10.514
Betty Rambur and Therese Fitzpatrick,A plea to nurse educators: Incorporate big data use as a foundational skill for undergraduate and graduate nurses,empty,2018,article,https://doi.org/10.1016/j.profnurs.2017.10.005
Fadoua Khennou and Youness Idrissi Khamlichi and Nour El Houda Chaoui,Improving the Use of Big Data Analytics within Electronic Health Records: A Case Study based OpenEHR,"Electronic Health Records, EHRs, Analytic tools, Big Data, Health Practitioners",2018,article,https://doi.org/10.1016/j.procs.2018.01.098
Yongcheng Zhang and Hanbin Luo and Yi He,A System for Tender Price Evaluation of Construction Project Based on Big Data,"System, Bid price evaluation, Construction project, Big data",2015,article,https://doi.org/10.1016/j.proeng.2015.10.114
Wei Ji and Lihui Wang,Big data analytics based fault prediction for shop floor scheduling,"Big data analytics, Fault prediction, Shop floor, Scheduling",2017,article,https://doi.org/10.1016/j.jmsy.2017.03.008
Thomas Lefèvre,Big data in forensic science and medicine,"Forensic science, Big data, Personalized medicine, Predictive medicine, Machine learning, Dimensionality",2018,article,https://doi.org/10.1016/j.jflm.2017.08.001
Sadok Ben Yahia and Anne Laurent and Gabriella Pasi,Preface: Special Issue on Big Data,empty,2018,article,https://doi.org/10.1016/j.fss.2018.05.022
Stefano Nativi and Paolo Mazzetti and Mattia Santoro and Fabrizio Papeschi and Max Craglia and Osamu Ochiai,Big Data challenges in building the Global Earth Observation System of Systems,"GEOSS, Big Data, Multidisciplinary systems, Earth System Science, Research infrastructures, Interoperability, Cloud systems",2015,article,https://doi.org/10.1016/j.envsoft.2015.01.017
C.J. Puranik and Sreenivasa Rao and S. Chennamaneni,The perils and pitfalls of big data analysis in medicine,empty,2019,article,https://doi.org/10.1016/j.jtos.2019.07.010
Stuart Maudsley and Viswanath Devanarayan and Bronwen Martin and Hugo Geerts,Intelligent and effective informatic deconvolution of “Big Data” and its future impact on the quantitative nature of neurodegenerative disease therapy,"Big data, Informatics, High-dimensionality, Alzheimer's disease, Aging, Molecular signature, Transcriptomics, Metabolomics, Proteomics, Genomics",2018,article,https://doi.org/10.1016/j.jalz.2018.01.014
Antonio {Núñez Reiz} and Fernando {Martínez Sagasti} and Manuel {Álvarez González} and Antonio {Blesa Malpica} and Juan Carlos {Martín Benítez} and Mercedes {Nieto Cabrera} and Ángela {del Pino Ramírez} and José Miguel {Gil Perdomo} and Jesús {Prada Alonso} and Leo Anthony Celi and Miguel Ángel {Armengol de la Hoz} and Rodrigo Deliberato and Kenneth Paik and Tom Pollard and Jesse Raffa and Felipe Torres and Julio Mayol and Joan Chafer and Arturo {González Ferrer} and Ángel Rey and Henar {González Luengo} and Giuseppe Fico and Ivana Lombroni and Liss Hernandez and Laura López and Beatriz Merino and María Fernanda Cabrera and María Teresa Arredondo and María Bodí and Josep Gómez and Alejandro Rodríguez and Miguel {Sánchez García},Big data and machine learning in critical care: Opportunities for collaborative research,"Big data, Machine learning, Artificial intelligence, Clinical databases, MIMIC III, Datathon, Collaborative work, , , Inteligencia artificial, Bases de datos clínicos, MIMIC III, Datathon, Trabajo colaborativo",2019,article,https://doi.org/10.1016/j.medin.2018.06.002
Xinqing Gao and Fan Yang and Chao Shang and Dexian Huang,A review of control loop monitoring and diagnosis: Prospects of controller maintenance in big data era,"Control loop performance assessment, Industrial alarm system, Process knowledge, Root cause diagnosis, Big data",2016,article,https://doi.org/10.1016/j.cjche.2016.05.039
Dominique Duncan and Paul Vespa and Asla Pitkänen and Adebayo Braimah and Niina Lapinlampi and Arthur W. Toga,Big data sharing and analysis to advance research in post-traumatic epilepsy,"Biomarkers, EEG, Epilepsy, Epileptogenesis, Informatics, MRI, Neuroimaging, TBI",2019,article,https://doi.org/10.1016/j.nbd.2018.05.026
Naveen Garg and Sanjay Singla and Surender Jangra,Challenges and Techniques for Testing of Big Data,"Big Data, Testing, Verasity, Hadoop",2016,article,https://doi.org/10.1016/j.procs.2016.05.285
Guillaume Taglang and David B. Jackson,Use of “big data” in drug discovery and clinical trials,"Big data, Drug discovery, Clinical trials, Precision medicine, Biomarkers",2016,article,https://doi.org/10.1016/j.ygyno.2016.02.022
Jiale Lei and Linghe Kong,2 - Fundamentals of big data in radio astronomy,"Big data, Astronomy, Statistical challenges, Astronomical data analysis, Platforms for big data process",2020,incollection,https://doi.org/10.1016/B978-0-12-819084-5.00010-9
Darshan Lopes and Kevin Palmer and Fiona O'Sullivan,Chapter 10 - Big Data: A Practitioners Perspective,"Pitfalls, Considerations, Implementation, Migration pattern, Practitioner's perspective, Open source, Data warehouse",2017,incollection,https://doi.org/10.1016/B978-0-12-805467-3.00010-7
Sunho Kim and Ricardo Pérez-Castillo and Ismael Caballero and Downgwoo Lee,Organizational process maturity model for IoT data quality management,"Data quality, Data quality management, IoT, ISO 8000, Process-centric, Process reference model, Maturity, Process maturity, process attribute",2022,article,https://doi.org/10.1016/j.jii.2021.100256
John F. Brothers and Matthew Ung and Renan Escalante-Chong and Jermaine Ross and Jenny Zhang and Yoonjeong Cha and Andrew Lysaght and Jason Funt and Rebecca Kusko,"Integrity, standards, and QC-related issues with big data in pre-clinical drug discovery","Big data, Genomics, Transcriptomics, RNA-seq, Microarray, Exome",2018,article,https://doi.org/10.1016/j.bcp.2018.03.014
Sandra de F. {Mendes Sampaio} and Chao Dong and Pedro Sampaio,DQ2S – A framework for data quality-aware information management,"Information management, Data quality, Query language extensions, Data profiling, Decision support systems, Big data",2015,article,https://doi.org/10.1016/j.eswa.2015.06.050
Romain Pirracchio and Mitchell J Cohen and Ivana Malenica and Jonathan Cohen and Antoine Chambaz and Maxime Cannesson and Christine Lee and Matthieu Resche-Rigon and Alan Hubbard,Big data and targeted machine learning in action to assist medical decision in the ICU,empty,2019,article,https://doi.org/10.1016/j.accpm.2018.09.008
Michael Alles and Glen L. Gray,Incorporating big data in audits: Identifying inhibitors and a research agenda to address those inhibitors,"Big Data, Auditing, Accounting information systems",2016,article,https://doi.org/10.1016/j.accinf.2016.07.004
Yi Liu and Jie Xu and Weijie Yi,Massive-scale carbon pollution control and biological fusion under big data context,"Internet-scale network, Dense subgraph mining, Low carbon, Multiple features, Biologically-aware",2021,article,https://doi.org/10.1016/j.future.2021.01.002
B. Saraladevi and N. Pazhaniraja and P. Victer Paul and M.S. Saleem Basha and P. Dhavachelvan,Big Data and Hadoop-a Study in Security Perspective,Big data ;Hadoop ;HDFS ;Security,2015,article,https://doi.org/10.1016/j.procs.2015.04.091
Pingjian Yu and Wei Lin,Single-cell Transcriptome Study as Big Data,"Single cell, RNA-seq, Big data, Transcriptional heterogeneity, Signal normalization",2016,article,https://doi.org/10.1016/j.gpb.2016.01.005
Sylvie Koziel and Patrik Hilber and Per Westerlund and Ebrahim Shayesteh,Investments in data quality: Evaluating impacts of faulty data on asset management in power systems,"Asset management, Component replacement, Data quality costs, Electric power distribution, Optimization, Trade-off",2021,article,https://doi.org/10.1016/j.apenergy.2020.116057
Marcos D. Assunção and Rodrigo N. Calheiros and Silvia Bianchi and Marco A.S. Netto and Rajkumar Buyya,Big Data computing and clouds: Trends and future directions,"Big Data, Cloud computing, Analytics, Data management",2015,article,https://doi.org/10.1016/j.jpdc.2014.08.003
Sjaak Wolfert and Lan Ge and Cor Verdouw and Marc-Jeroen Bogaardt,Big Data in Smart Farming – A review,"Agriculture, Data, Information and communication technology, Data infrastructure, Governance, Business modelling",2017,article,https://doi.org/10.1016/j.agsy.2017.01.023
Xiaohong Huang and Kun Xie and Supeng Leng and Tingting Yuan and Maode Ma,Improving Quality of Experience in multimedia Internet of Things leveraging machine learning on big data,"Data fusion, Multimedia Internet of Things, Big data, Quality of Experience, Machine learning, Neural network",2018,article,https://doi.org/10.1016/j.future.2018.02.046
Jinlin Zhu and Zhiqiang Ge and Zhihuan Song and Furong Gao,Review and big data perspectives on robust data mining approaches for industrial process modeling with outliers and missing data,"Data mining, Robustness, Process modeling, Statistical process monitoring, Big data analytics",2018,article,https://doi.org/10.1016/j.arcontrol.2018.09.003
Ibrahim Abaker Targio Hashem and Victor Chang and Nor Badrul Anuar and Kayode Adewole and Ibrar Yaqoob and Abdullah Gani and Ejaz Ahmed and Haruna Chiroma,The role of big data in smart city,"Smart city, Big data, Internet of things, Smart environments, Cloud computing, Distributed computing",2016,article,https://doi.org/10.1016/j.ijinfomgt.2016.05.002
David Gil and Il-Yeol Song and José F. Aldana and Juan Trujillo,Big Data. New approaches of modelling and management,empty,2017,article,https://doi.org/10.1016/j.csi.2017.03.006
Rohit Budhiraja and Robert Thomas and Matthew Kim and Susan Redline,The Role of Big Data in the Management of Sleep-Disordered Breathing,"Sleep-disordered breathing, Big data, Management, Sleep apnea",2016,article,https://doi.org/10.1016/j.jsmc.2016.01.009
Thanos Papadopoulos and Angappa Gunasekaran and Rameshwar Dubey and Nezih Altay and Stephen J. Childe and Samuel Fosso-Wamba,The role of Big Data in explaining disaster resilience in supply chains for sustainability,"Resilience, Big Data, Sustainability, Disaster, Exploratory factor analysis, Confirmatory factor analysis",2017,article,https://doi.org/10.1016/j.jclepro.2016.03.059
Zigeng Fang and Yan Liu and Qiuchen Lu and Michael Pitt and Sean Hanna and Zhichao Tian,BIM-integrated portfolio-based strategic asset data quality management,"Strategic asset management (SAM), Building information modeling (BIM), Portfolio management, Data quality management",2022,article,https://doi.org/10.1016/j.autcon.2021.104070
Q. Peter He and Jin Wang,Statistical process monitoring as a big data analytics tool for smart manufacturing,"Statistical process monitoring, Big data, Smart manufacturing, Feature extraction, Internet of things",2018,article,https://doi.org/10.1016/j.jprocont.2017.06.012
Markus Hammer and Ken Somers and Hugo Karre and Christian Ramsauer,Profit Per Hour as a Target Process Control Parameter for Manufacturing Systems Enabled by Big Data Analytics and Industry 4.0 Infrastructure,"Operations Management, Manufacturing Systems 4.0, Profit per Hour, Advanced Process Control, Big Data Analytics, Agile Manufacturing",2017,article,https://doi.org/10.1016/j.procir.2017.03.094
Mandy Chessell and Dan Wolfson and Tim Vincent,Chapter 3 - Architecting to Deliver Value From a Big Data and Hybrid Cloud Architecture,"Enterprise architecture, Self-service data, Systems of insight, Data-driven security, Business-driven governance, Trust and confidence, Hybrid-cloud, Information supply chains",2017,incollection,https://doi.org/10.1016/B978-0-12-805467-3.00003-X
Manuel Gonçalves-Pinho and Alberto Freitas,Chapter 8 - The use of Big Data in Psychiatry—The role of administrative databases,"Administrative database, Mental Health, Secondary data, Psychiatry, Research design",2021,incollection,https://doi.org/10.1016/B978-0-12-822884-5.00009-X
Quan Xu and Peng Zhang and Wenqin Liu and Qiang Liu and Changxin Liu and Liangyong Wang and Anthony Toprac and S. {Joe Qin},"A Platform for Fault Diagnosis of High-Speed Train based on Big Data⁎⁎Project supported by the National Natural Science Foundation, China(61490704, 61440015) and the National High-Tech. R&D Program, China (No. 2015AA043802).","Fault Diagnosis, High-Speed Train, Big Data, Cloud Computing, Edge Computing",2018,article,https://doi.org/10.1016/j.ifacol.2018.09.318
Laura Sebastian-Coleman,Chapter 2 - Organizational Data and the Five Challenges of Managing Data Quality,"Data, history of data, data quality, data management, data governance, data stewardship, data and technology, process improvement, technology strategy, culture/organization, data literacy",2022,incollection,https://doi.org/10.1016/B978-0-12-821737-5.00002-X
Xiaoli Liu and Satu Tamminen and Topi Korhonen and Juha Röning,How Physical Exercise Level Affects Sleep Quality? Analyzing Big Data Collected from Wearables,"Data analytics, wearables, sleep quality, statistical methods",2019,article,https://doi.org/10.1016/j.procs.2019.08.035
Antony Clark and Jonathon Q. Ng and Nigel Morlet and James B. Semmens,Big data and ophthalmic research,"data linkage, clinical registry, health services research, ophthalmic epidemiology, big data",2016,article,https://doi.org/10.1016/j.survophthal.2016.01.003
Pierluigi Zerbino and Davide Aloini and Riccardo Dulmin and Valeria Mininno,Big Data-enabled Customer Relationship Management: A holistic approach,"Big Data, CRM, Literature review, Critical Success Factors (CSFs), Word tree",2018,article,https://doi.org/10.1016/j.ipm.2017.10.005
Ida Arlene Joiner,Chapter 5 - Information Seeking With Big Data: Not Just the Facts,"Big data, libraries, security, privacy, infrastructure, Hadoop",2018,incollection,https://doi.org/10.1016/B978-0-08-102253-5.00005-8
Truong Nguyen and Li ZHOU and Virginia Spiegler and Petros Ieromonachou and Yong Lin,Big data analytics in supply chain management: A state-of-the-art literature review,"Literature review, Big data, Big data analytics, Supply chain management, Research directions",2018,article,https://doi.org/10.1016/j.cor.2017.07.004
Alan Simon,Chapter 8 - Considerations for the Big Data Era,"Big Data, business intelligence, BI, analytics, predictive analytics, program manager, program management, project manager, project management, challenges, data warehouse, data warehousing, enterprise data warehouse, EDW",2015,incollection,https://doi.org/10.1016/B978-0-12-801540-7.00008-1
Wen Chen and Kaile Zhou and Shanlin Yang and Cheng Wu,Data quality of electricity consumption data in a smart grid environment,"Electricity consumption data, Data quality, Outlier detection, Outlier data, Smart grid",2017,article,https://doi.org/10.1016/j.rser.2016.10.054
Zhong Wang and Qian Yu,Privacy trust crisis of personal data in China in the era of Big Data: The survey and countermeasures,"Personal data, Privacy trust, Questionnaires, Interview, Big data",2015,article,https://doi.org/10.1016/j.clsr.2015.08.006
Richard Knepper and Matthew Standish and Matthew Link,Big Data on Ice: The Forward Observer System for In-flight Synthetic Aperture Radar Processing,"Big Data, Network Filesystems, Synthetic Aperture Radar, Ice Sheet Data",2015,article,https://doi.org/10.1016/j.procs.2015.05.340
Rui Zhao and Yiyun Liu and Ning Zhang and Tao Huang,An optimization model for green supply chain management by using a big data analytic approach,"Hazardous materials, Inherent risk, Carbon emissions, Multi-objective optimization, Green supply chain management, Big data analysis",2017,article,https://doi.org/10.1016/j.jclepro.2016.03.006
Krish Krishnan,Chapter 10 - Integration of Big Data and Data Warehousing,"Big Data, Big Data appliances, Hadoop, NoSQL, RDBMS, data virtualization, semantic framework",2013,incollection,https://doi.org/10.1016/B978-0-12-405891-0.00010-6
Benjamin T. Hazen and Joseph B. Skipper and Jeremy D. Ezell and Christopher A. Boone,Big data and predictive analytics for supply chain sustainability: A theory-driven research agenda,"Big data, Predictive analytics, Supply chain management",2016,article,https://doi.org/10.1016/j.cie.2016.06.030
Timothy M.D. Ebbels and Jake T.M. Pearce and Noureddin Sadawi and Jianliang Gao and Robert C. Glen,Chapter 11 - Big Data and Databases for Metabolic Phenotyping,"Metabolomics, Metabonomics, Metabolic phenotyping, Big data, Cloud computing, High-performance computing, Software tools, Databases, PhenoMeNal, Ethical, Legal, Social implications, ELSI",2019,incollection,https://doi.org/10.1016/B978-0-12-812293-8.00011-6
Uthayasankar Sivarajah and Muhammad Mustafa Kamal and Zahir Irani and Vishanth Weerakkody,Critical analysis of Big Data challenges and analytical methods,"Big Data, Big Data Analytics, Challenges, Methods, Systematic literature review",2017,article,https://doi.org/10.1016/j.jbusres.2016.08.001
Ralph Hughes,Chapter 13 - Surface Solutions Using Data Virtualization and Big Data,"Agile enterprise data warehousing, surface solutions, backfilling the architecture, shadow IT, data virtualization, big data, Hadoop, HDFS, Map/Reduce, Hive",2016,incollection,https://doi.org/10.1016/B978-0-12-396464-9.00013-8
Marius Fieschi,"16 - Data for Epidemiology and Public Health, and Big Data11The questions posed by data processing for epidemiology and public health are often similar to those discussed in the chapters on clinical research (Chapter 18) and bioinformatics data (Chapter 17). For the sake of clarity, we address these questions in different chapters, although the problems are of the same nature and the solutions are isomorphic. In order to avoid too much repetition, the issue of big data is discussed here without going into the content of the other chapters.","Data processing, Data-sharing, e-health, Epidemiology, Health security, Monitoring systems, Preventive action, Public health, SurSaUD system",2018,incollection,https://doi.org/10.1016/B978-1-78548-287-8.50016-X
Carol Isaacson Barash and Keith O. Elliston and W. {Andrew Faucett} and Jonathan Hirsch and Gauri Naik and Alice Rathjen and Grant Wood,Harnessing big data for precision medicine: A panel of experts elucidates the data challenges and proposes key strategic decisions points,empty,2015,article,https://doi.org/10.1016/j.atg.2015.02.002
Ingunn Björnsdottir and Guri Birgitte Verne,Exhibiting caution with use of big data: The case of amphetamine in Iceland's prescription registry,empty,2018,article,https://doi.org/10.1016/j.sapharm.2018.02.009
Antonella D. Pontoriero and Giovanna Nordio and Rubaida Easmin and Alessio Giacomel and Barbara Santangelo and Sameer Jahuar and Ilaria Bonoldi and Maria Rogdaki and Federico Turkheimer and Oliver Howes and Mattia Veronese,Automated Data Quality Control in FDOPA brain PET Imaging using Deep Learning,"FDOPA, PET, quality control, QC, convolutional neural networks",2021,article,https://doi.org/10.1016/j.cmpb.2021.106239
Oscar Romero and Victor Herrero and Alberto Abelló and Jaume Ferrarons,Tuning small analytics on Big Data: Data partitioning and secondary indexes in the Hadoop ecosystem,"Big Data, OLAP, Multidimensional model, Indexes, Partitioning, Cost estimation",2015,article,https://doi.org/10.1016/j.is.2014.09.005
Holger Maier and Stefanie Leuchtenberger and Helmut Fuchs and Valerie Gailus-Durner and Martin {Hrabe de Angelis},Big data in large-scale systemic mouse phenotyping,empty,2017,article,https://doi.org/10.1016/j.coisb.2017.07.012
Niki Sadat Abbasian and Afshin Salajegheh and Henrique Gaspar and Per Olaf Brett,Improving early OSV design robustness by applying ‘Multivariate Big Data Analytics’ on a ship's life cycle,"External data, Internal data, Abnormality, Missing data, Outliers, Randomness, Multivariate analysis, Data integration, Clustering",2018,article,https://doi.org/10.1016/j.jii.2018.02.002
Christel Daniel and Patricia Serre and Nina Orlova and Stéphane Bréant and Nicolas Paris and Nicolas Griffon,Initializing a hospital-wide data quality program. The AP-HP experience.,"Data accuracy, Data quality, Electronic health records, Data warehousing, Observational Studies as Topic",2019,article,https://doi.org/10.1016/j.cmpb.2018.10.016
Krish Krishnan,Chapter 11 - Data-Driven Architecture for Big Data,"metadata, master data, machine learning, algorithms, semantic libraries, data governance",2013,incollection,https://doi.org/10.1016/B978-0-12-405891-0.00011-8
John R. Talburt and Yinle Zhou,Chapter 1 - The Value Proposition for MDM and Big Data,"Master data, master data management, MDM, Big Data, reference data management, RDM",2015,incollection,https://doi.org/10.1016/B978-0-12-800537-8.00001-6
Bong-Chul Seo and Munsung Keem and Raymond Hammond and Ibrahim Demir and Witold F. Krajewski,A pilot infrastructure for searching rainfall metadata and generating rainfall product using the big data of NEXRAD,"NEXRAD, Rainfall, Cloud computing, Level II data, Hydrology",2019,article,https://doi.org/10.1016/j.envsoft.2019.03.008
Roberto {Álvarez Sánchez} and Andoni {Beristain Iraola} and Gorka {Epelde Unanue} and Paul Carlin,"TAQIH, a tool for tabular data quality assessment and improvement in the context of health data","Data quality, Exploratory data analysis, Data pre-processing",2019,article,https://doi.org/10.1016/j.cmpb.2018.12.029
Neil T. Bendle and Xin (Shane) Wang,Uncovering the message from the mess of big data,"Big data, User-Generated content, Latent Dirichlet Allocation, Topic modeling, Market research, Qualitative data",2016,article,https://doi.org/10.1016/j.bushor.2015.10.001
Thilo Schuler and John Kipritidis and Thomas Eade and George Hruby and Andrew Kneebone and Mario Perez and Kylie Grimberg and Kylie Richardson and Sally Evill and Brooke Evans and Blanca Gallego,Big Data Readiness in Radiation Oncology: An Efficient Approach for Relabeling Radiation Therapy Structures With Their TG-263 Standard Name in Real-World Data Sets,empty,2019,article,https://doi.org/10.1016/j.adro.2018.09.013
Shixia Liu and Gennady Andrienko and Yingcai Wu and Nan Cao and Liu Jiang and Conglei Shi and Yu-Shuen Wang and Seokhee Hong,Steering data quality with visual analytics: The complexity challenge,"Data quality management, Visual analytics, Data cleansing",2018,article,https://doi.org/10.1016/j.visinf.2018.12.001
M.A. Mayer and L. Fernández-Luque and A. Leis,Chapter 5 - Big Data For Health Through Social Media,"Big Data, social media, data analysis, public health, Internet",2016,incollection,https://doi.org/10.1016/B978-0-12-809269-9.00005-0
Daniel Drewer and Vesela Miladinova,The BIG DATA Challenge: Impact and opportunity of large quantities of information under the Europol Regulation,"Europol, Big data, Privacy, Data protection, Data protection impact assessment, Risk assessment, Privacy by design, Advanced technologies, Europol Regulation, Integrated Data Management Concept (IDMC)",2017,article,https://doi.org/10.1016/j.clsr.2017.03.006
Lisa C. Günther and Eduardo Colangelo and Hans-Hermann Wiendahl and Christian Bauer,Data quality assessment for improved decision-making: a methodology for small and medium-sized enterprises,"Data quality assessment, Data quality control, Information quality, Benchmarking, Production planning, control",2019,article,https://doi.org/10.1016/j.promfg.2019.02.114
Sonal K. Phan and Cathy Chen,9 - Big Data and Monitoring the Grid,"Big data, power quality disturbance detection, intrusion detection, islanding detection, feature extraction, classification, data analytics, forecasting, visualization, smart meters, demand response",2017,incollection,https://doi.org/10.1016/B978-0-12-805321-8.00009-4
Jean-Emmanuel Bibault and Philippe Giraud and Anita Burgun,Big Data and machine learning in radiation oncology: State of the art and future prospects,"Radiation oncology, Big Data, Predictive model, Machine learning",2016,article,https://doi.org/10.1016/j.canlet.2016.05.033
Yimeng Song and Bo Huang and Qingqing He and Bin Chen and Jing Wei and Rashed Mahmood,Dynamic assessment of PM2.5 exposure and health risk using remote sensing and geo-spatial big data,"Human mobility, Spatiotemporal heterogeneity, Remote sensing, Big data, Environmental health",2019,article,https://doi.org/10.1016/j.envpol.2019.06.057
Laura Morán-Fernández and Verónica Bólon-Canedo and Amparo Alonso-Betanzos,How important is data quality? Best classifiers vs best features,"Feature selection, Filters, Preprocessing, High dimensionality, Classification, Data analysis",2022,article,https://doi.org/10.1016/j.neucom.2021.05.107
Muhammad Babar and Ataur Rahman and Fahim Arif and Gwanggil Jeon,Energy-harvesting based on internet of things and big data analytics for smart health monitoring,"Big data analytics, IoT, Energy harvesting",2018,article,https://doi.org/10.1016/j.suscom.2017.10.009
